TimeCreated,EventID,hour_of_day,event_frequency,inter_event_gap_seconds,message_length,anomaly_score,prediction
2026-04-21 05:42:05.186194+05:30,5,5,246,0.0061201,207,0.11631057415279306,normal
2026-04-21 05:42:05.190815700+05:30,5,5,246,0.0046217,206,0.12303064763906862,normal
2026-04-21 05:42:05.205023100+05:30,5,5,246,0.0142074,215,0.08714728080231754,normal
2026-04-21 05:42:05.207916700+05:30,5,5,246,0.0028936,215,0.092008354760784,normal
2026-04-21 05:42:05.209888+05:30,5,5,246,0.0019713,207,0.11686875002914493,normal
2026-04-21 05:42:05.215106600+05:30,5,5,246,0.0052186,206,0.12259185100580522,normal
2026-04-21 05:42:05.215324900+05:30,5,5,246,0.0002183,207,0.11443454459208108,normal
2026-04-21 05:42:05.218714100+05:30,5,5,246,0.0033892,215,0.0921168544741105,normal
2026-04-21 05:42:05.218932600+05:30,5,5,246,0.0002185,206,0.11801420032801185,normal
2026-04-21 05:42:05.247707+05:30,5,5,246,0.0287744,215,0.08373968204254884,normal
2026-04-21 05:42:05.253067500+05:30,5,5,246,0.0053605,207,0.11770534421633805,normal
2026-04-21 05:42:05.257332400+05:30,5,5,246,0.0042649,206,0.12347859380694887,normal
2026-04-21 05:42:05.598537400+05:30,5,5,246,0.341205,203,0.058702541997431745,normal
2026-04-21 05:42:05.636470900+05:30,5,5,246,0.0379335,279,-0.032645045969931896,anomaly
2026-04-21 05:42:05.943185+05:30,5,5,246,0.3067141,213,0.0674063695851429,normal
2026-04-21 05:42:06.283146+05:30,5,5,246,0.339961,245,0.022467261076750455,normal
2026-04-21 05:42:06.342544500+05:30,5,5,246,0.0593985,202,0.07893941687656147,normal
2026-04-21 05:42:06.467708500+05:30,5,5,246,0.125164,208,0.08913540807994175,normal
2026-04-21 05:42:07.014603200+05:30,5,5,246,0.5468947,215,0.050792512673554,normal
2026-04-21 05:42:07.020711+05:30,5,5,246,0.0061078,207,0.11631057415279306,normal
2026-04-21 05:42:07.026669500+05:30,5,5,246,0.0059585,206,0.12118488750272033,normal
2026-04-21 05:42:07.115210500+05:30,5,5,246,0.088541,202,0.07520944295335841,normal
2026-04-21 05:42:07.121379+05:30,5,5,246,0.0061685,206,0.1206415684489307,normal
2026-04-21 05:42:07.243587900+05:30,5,5,246,0.1222089,295,-0.05113752990773213,anomaly
